by_binomial,creole,BY_spec_grav,family,genus,species,species_abbr,wd_avg
prunus myrtifolia,lamandye ti fey,,Rosaceae,Prunus,myrtifolia,myrtifolia,
sabal domingensis,latanye chapo,,Arecaceae,Sabal,domingensis,domingensis,
sabal domingensis,pay,,Arecaceae,Sabal,domingensis,domingensis,
sabal causiarum,latanye fran,,Arecaceae,Sabal,causiarum,causiarum,
sabal causiarum,latanye jon,,Arecaceae,Sabal,causiarum,causiarum,
thrinax morrisii,latanye lame,,Arecaceae,Thrinax,morrisii,morrisii,
byrsonima spicata,liann kolik,0.52-0.65,Malpighiaceae,Byrsonima,spicata,spicata,0.585
byrsonima spicata,liann towo,0.52-0.65,Malpighiaceae,Byrsonima,spicata,spicata,0.585
byrsonima spicata,towo tig,0.52-0.65,Malpighiaceae,Byrsonima,spicata,spicata,0.585
melia azedarach,lila,0.4-0.52,Meliaceae,Melia,azedarach,azedarach,0.46
gliricidia sepium,lila etranje,0.47-0.75,Fabaceae,Gliricidia,sepium,sepium,0.61
gliricidia sepium,piyon,0.47-0.75,Fabaceae,Gliricidia,sepium,sepium,0.61
leucaena leucocephala subsp. glabrata,lisina,0.5-0.79,Fabaceae,Leucaena,leucocephala subsp. glabrata,leucocephala,0.645
leucaena diversifolia,lisina ti fey,,Fabaceae,Leucaena,diversifolia,diversifolia,
eriobotrya japonica,lokwat,,Rosaceae,Eriobotrya,japonica,japonica,
cinnamomum spp.,lorie,0.43-0.61,Lauraceae,Cinnamomum,spp.,spp.,0.52
ocotea coriacea,lorie blan,,Lauraceae,Ocotea,coriacea,coriacea,
ocotea coriacea,lorie,,Lauraceae,Ocotea,coriacea,coriacea,
ocotea globosa,lorie gran fey,,Lauraceae,Ocotea,globosa,globosa,
ocotea globosa,lorie,,Lauraceae,Ocotea,globosa,globosa,
licaria triandra,lorie jon,0.68-0.96,Lauraceae,Licaria,triandra,triandra,0.8200000000000001
licaria triandra,lorie,0.68-0.96,Lauraceae,Licaria,triandra,triandra,0.8200000000000001
ocotea membranacea,lorie jon,0.45,Lauraceae,Ocotea,membranacea,membranacea,0.45
ocotea membranacea,lorie,0.45,Lauraceae,Ocotea,membranacea,membranacea,0.45
cinnamomum elongatum,lorie kanel,0.47,Lauraceae,Cinnamomum,elongatum,elongatum,0.47
cinnamomum elongatum,lorie ti fey,0.47,Lauraceae,Cinnamomum,elongatum,elongatum,0.47
cinnamomum elongatum,lorie,0.47,Lauraceae,Cinnamomum,elongatum,elongatum,0.47
ocotea floribunda,lorie piant,,Lauraceae,Ocotea,floribunda,floribunda,
ocotea floribunda,lorie,,Lauraceae,Ocotea,floribunda,floribunda,
nerium oleander ,lorie woz,0.6,Apocynaceae,Nerium,oleander,oleander,0.6
parkinsonia aculeata,madam yas,0.56-0.67,Fabaceae,Parkinsonia,aculeata,aculeata,0.615
hibiscus elatus,maho ble,0.52-0.65,Malvaceae,Hibiscus,elatus,elatus,0.585
trema lamarckiana,majo piman,,Ulmaceae,Trema,lamarckiana,lamarckiana,
miconia spp.,makrio,,Melastomataceae,Miconia,spp.,spp.,
miconia spp.,twazokot,,Melastomataceae,Miconia,spp.,spp.,
hippomane mancinella,mancheni,0.5,Euphorbiaceae,Hippomane,mancinella,mancinella,0.5
hippomane mancinella,manscheniye,0.5,Euphorbiaceae,Hippomane,mancinella,mancinella,0.5
laguncularia racemosa ,mang blan,0.6-0.8,Combretaceae,Laguncularia,racemosa,racemosa,0.7
rhizophora mangle,mang chandel,0.89,Rhizophoraceae,Rhizophora,mangle,mangle,0.89
rhizophora mangle,mang nwa,0.89,Rhizophoraceae,Rhizophora,mangle,mangle,0.89
rhizophora mangle,mang wouj,0.89,Rhizophoraceae,Rhizophora,mangle,mangle,0.89
avicennia germinans,mang nwa,0.8-1,Verbenaceae,Avicennia,germinans,germinans,0.9
conocarpus erectus,mang nwa,0.9-1,Combretaceae,Conocarpus,erectus,erectus,0.95
dodonaea viscosa,mang ti fey,,Sapindaceae,Dodonaea,viscosa,viscosa,
mangifera indica,mango,0.45-0.58,Anacardiaceae,Mangifera,indica,indica,0.515
ceiba pentandra,mapou,0.23-0.4,Bombacaceae,Ceiba,pentandra,pentandra,0.315
ricinus communis,maskriti,,Euphorbiaceae,Ricinus,communis,communis,
ricinus communis,risin,,Euphorbiaceae,Ricinus,communis,communis,
melaleuca quiquenervia,melalika,0.65,Myrtaceae,Melaleuca,quiquenervia,quiquenervia,0.65
gmelina arborea,melina,0.4-0.52,Verbenaceae,Gmelina,arborea,arborea,0.46
eugenia axillaris,meriz,,Myrtaceae,Eugenia,axillaris,axillaris,
coccoloba diversifolia,mevis,0.8,Polygonaceae,Coccoloba,diversifolia,diversifolia,0.8
coccoloba diversifolia,rezen,0.8,Polygonaceae,Coccoloba,diversifolia,diversifolia,0.8
coccoloba diversifolia,rezen bouzen,0.8,Polygonaceae,Coccoloba,diversifolia,diversifolia,0.8
morus nigra,mi,,Moraceae,Morus,nigra,nigra,
murraya paniculata,mit,,Rutaceae,Murraya,paniculata,paniculata,
trichilia hirta,monben bata,0.5,Meliaceae,Trichilia,hirta,hirta,0.5
spondias mombin,monben,0.26-0.4,Anacardiaceae,Spondias,mombin,mombin,0.33
spondias mombin,monben fran,0.26-0.4,Anacardiaceae,Spondias,mombin,mombin,0.33
spathodea campanulata,motel etranje,,Bignoniaceae,Spathodea,campanulata,campanulata,
azadirachta indica,nim,0.52-0.65,Meliaceae,Azadirachta,indica,indica,0.585
juglans jamaicensis,nogal,0.4-0.52,Juglandaceae,Juglans,jamaicensis,jamaicensis,0.46
anacardium occidentale,nwa kajou,,Anacardiaceae,Anacardium,occidentale,occidentale,
myristica fragrans,nwa miskad,0.45-0.6,Myristicaceae,Myristica,fragrans,fragrans,0.525
aleurites moluccana,nwazet,,Euphorbiaceae,Aleurites,moluccana,moluccana,
roystonea borinquena,palmis,,Arecaceae,Roystonea,borinquena,borinquena,
carica papaya,papay,,Caricaceae,Carica,papaya,papaya,
cordia sulcata,paresol,0.6,Boraginaceae,Cordia,sulcata,sulcata,0.6
persea krugii,pech mawon,,Lauraceae,Persea,krugii,krugii,
zanthoxylum martinicense,pine blan,0.46-0.66,Rutaceae,Zanthoxylum,martinicense,martinicense,0.56
sterculia apetala,pistach,0.26-0.4,Malvaceae,Sterculia,apetala,apetala,0.33
syzygium malaccense,pom malezi,,Myrtaceae,Syzygium,malaccense,malaccense,
syzygium jambos,pom woz,0.7,Myrtaceae,Syzygium,jambos,jambos,0.7
inga vera spp. vera,pwa dou,0.57-0.75,Fabaceae,Inga,vera spp. vera,vera,0.6599999999999999
inga vera spp. vera,sikren,0.57-0.75,Fabaceae,Inga,vera spp. vera,vera,0.6599999999999999
hura crepitans,rabi,0.26-0.4,Euphorbiaceae,Hura,crepitans,crepitans,0.33
hura crepitans,sabliye,0.26-0.4,Euphorbiaceae,Hura,crepitans,crepitans,0.33
adenanthera pavonina,reglis,0.6-0.8,Fabaceae,Adenanthera,pavonina,pavonina,0.7
coccoloba costata,rezen,,Polygonaceae,Coccoloba,costata,costata,
coccoloba uvifera,rezen fe,0.7,Polygonaceae,Coccoloba,uvifera,uvifera,0.7
coccoloba uvifera,rezen lame,0.7,Polygonaceae,Coccoloba,uvifera,uvifera,0.7
coccoloba pubescens,rezen gran fey,1-1.1,Polygonaceae,Coccoloba,pubescens,pubescens,1.05
albizia saman,saman,0.42-0.64,Fabaceae,Albizia,saman,saman,0.53
manilkara zapota,sapoti,,Sapotaceae,Manilkara,zapota,zapota,
micropholis spp.,sapoti,0.52-0.78,Sapotaceae,Micropholis,spp.,spp.,0.65
manilkara bidentata,sapoti,0.85,Sapotaceae,Manilkara,bidentata,bidentata,0.85
manilkara bidentata,sapoti nwa,0.85,Sapotaceae,Manilkara,bidentata,bidentata,0.85
cupania americana,satanye,0.4,Sapindaceae,Cupania,americana,americana,0.4
cupania americana,twazokot,0.4,Sapindaceae,Cupania,americana,americana,0.4
sapindus saponaria,savonet,0.8,Sapindaceae,Sapindus,saponaria,saponaria,0.8
sapindus saponaria,savonet peyi,0.8,Sapindaceae,Sapindus,saponaria,saponaria,0.8
sapindus saponaria,bwa savon,0.8,Sapindaceae,Sapindus,saponaria,saponaria,0.8
cedrela odorata,sed,0.37-0.6,Meliaceae,Cedrela,odorata,odorata,0.485
malpighia glabra,seriz dayiti,,Malpighiaceae,Malpighia,glabra,glabra,
crossopetalum rhacoma,sewal,,Celastraceae,Crossopetalum,rhacoma,rhacoma,
phyllanthus acidus,sibilinn,0.6,Euphorbiaceae,Phyllanthus,acidus,acidus,0.6
cupressus lusitanica,sipre,0.4-0.52,Cupressaceae,Cupressus,lusitanica,lusitanica,0.46
spondias purpurea,siwel,,Anacardiaceae,Spondias,purpurea,purpurea,
sambucus simpsonii,siwo,,Adoxaceae,Sambucus,simpsonii,simpsonii,
lysiloma sabicu,tabeno,0.52-0.65,Fabaceae,Lysiloma,sabicu,sabicu,0.585
tamarindus indica,tamarenn,0.8-0.9,Fabaceae,Tamarindus,indica,indica,0.8500000000000001
albizia lebbeck,tcha tcha,0.43-0.68,Fabaceae,Albizia,lebbeck,lebbeck,0.555
albizia lebbeck,bwa savann,0.43-0.68,Fabaceae,Albizia,lebbeck,lebbeck,0.555
albizia lebbeck,bwa nwa,0.43-0.68,Fabaceae,Albizia,lebbeck,lebbeck,0.555
tectona grandis,tek,0.52-0.65,Verbenaceae,Tectona,grandis,grandis,0.585
calyptranthes spp.,ti bwa pen,,Myrtaceae,Calyptranthes,spp.,spp.,
henriettea fascicularis,ti grenn,,Melastomataceae,Henriettea,fascicularis,fascicularis,
chrysophyllum argenteum,ti kaymit,,Sapotaceae,Chrysophyllum,argenteum,argenteum,
allophylus occidentalis,twa fey,,Sapindaceae,Allophylus,occidentalis,occidentalis,
allophylus occidentalis,twa pawol,,Sapindaceae,Allophylus,occidentalis,occidentalis,
cordia collococca,twa pye,,Boraginaceae,Cordia,collococca,collococca,
cecropia peltata,twompet,0.26-0.4,Moraceae,Cecropia,peltata,peltata,0.33
spondias dulcis,wob,,Anacardiaceae,Spondias,dulcis,dulcis,
spondias dulcis,pom site,,Anacardiaceae,Spondias,dulcis,dulcis,
ilex spp.,wou,0.77,Aquifoliaceae,Ilex,spp.,spp.,0.77
bixa orellana,woukou,0.4,Bixaceae,Bixa,orellana,orellana,0.4
persea americana,zaboka,0.4-0.65,Lauraceae,Persea,americana,americana,0.525
mammea americana,zabriko,0.62,Clusiaceae,Mammea,americana,americana,0.62
acacia farnesiana,zakasya jon,0.77-0.84,Fabaceae,Acacia,farnesiana,farnesiana,0.8049999999999999
acacia farnesiana,zakasya,0.77-0.84,Fabaceae,Acacia,farnesiana,farnesiana,0.8049999999999999
acacia tortuosa,zakasya nwa,,Fabaceae,Acacia,tortuosa,tortuosa,
acacia tortuosa,zakasya wouj,,Fabaceae,Acacia,tortuosa,tortuosa,
acacia tortuosa,zakasya,,Fabaceae,Acacia,tortuosa,tortuosa,
acacia macracantha,zakasya pikan,0.8-1.07,Fabaceae,Acacia,macracantha,macracantha,0.935
acacia macracantha,zakasya,0.8-1.07,Fabaceae,Acacia,macracantha,macracantha,0.935
acacia auriculiformis,zakasya,0.6-0.8,Fabaceae,Acacia,auriculiformis,auriculiformis,0.7
acacia auriculiformis,akasya,0.6-0.8,Fabaceae,Acacia,auriculiformis,auriculiformis,0.7
terminalia catappa,zamann,0.45-0.58,Combretaceae,Terminalia,catappa,catappa,0.515
acacia barahonensis,,,Fabaceae,Acacia,barahonensis,barahonensis,
acacia decurrens,,,Fabaceae,Acacia,decurrens,decurrens,
acacia mearnsii,,0.52-0.65,Fabaceae,Acacia,mearnsii,mearnsii,0.585
acacia melanoxylon,,0.52-0.65,Fabaceae,Acacia,melanoxylon,melanoxylon,0.585
acacia muricata,,,Fabaceae,Acacia,muricata,muricata,
acacia nilotica,gommier,0.8,Fabaceae,Acacia,nilotica,nilotica,0.8
acacia senegal,,,Fabaceae,Acacia,senegal,senegal,
acacia vogeliana,,,Fabaceae,Acacia,vogeliana,vogeliana,
adansonia digitata,,,Bombacaceae,Adansonia,digitata,digitata,
albizia guachapele,,0.55-0.6,Fabaceae,Albizia,guachapele,guachapele,0.575
albizia procera ,,0.6-0.9,Fabaceae,Albizia,procera,procera,0.75
alchorneopsis floribunda,,0.4-0.5,Euphorbiaceae,Alchorneopsis,floribunda,floribunda,0.45
aleurites fordii,,,Euphorbiaceae,Aleurites,fordii,fordii,
aleurites trisperma,,,Euphorbiaceae,Aleurites,trisperma,trisperma,
allophylus cominia,twa pawol,,Sapindaceae,Allophylus,cominia,cominia,
allophylus crassinervis,twa pawol,,Sapindaceae,Allophylus,crassinervis,crassinervis,
allophylus rigidus,twa pawol,,Sapindaceae,Allophylus,rigidus,rigidus,
alnus acuminata,,0.5-0.6,Betulaceae,Alnus,acuminata,acuminata,0.55
alsophila hotteana,,,Cyatheaceae,Alsophila,hotteana,hotteana,
alsophila minor,,,Cyatheaceae,Alsophila,minor,minor,
alsophila woodwardioides,,,Cyatheaceae,Alsophila,woodwardioides,woodwardioides,
alvaradoa haitiensis,,,Simaroubaceae,Alvaradoa,haitiensis,haitiensis,
amoelocera cubensis,,,Ulmaceae,Amoelocera,cubensis,cubensis,
amyris balsamifera,,,Rutaceae,Amyris,balsamifera,balsamifera,
amyris diatrypa,,,Rutaceae,Amyris,diatrypa,diatrypa,
amyris elemifera,twa pawol,,Rutaceae,Amyris,elemifera,elemifera,
annona cherimolia,,,Annonaceae,Annona,cherimolia,cherimolia,
annona domingensis,,,Annonaceae,Annona,domingensis,domingensis,
annona dumertorum,,,Annonaceae,Annona,dumertorum,dumertorum,
annona frutescens,,,Annonaceae,Annona,frutescens,frutescens,
annona glabra,,,Annonaceae,Annona,glabra,glabra,
annona gracilis,,,Annonaceae,Annona,gracilis,gracilis,
annona micrantha,,,Annonaceae,Annona,micrantha,micrantha,
annona montana,,,Annonaceae,Annona,montana,montana,
annona reticulata,,,Annonaceae,Annona,reticulata,reticulata,
annona rosei,,,Annonaceae,Annona,rosei,rosei,
annona salicifolia,,,Annonaceae,Annona,salicifolia,salicifolia,
annona squamosa,,,Annonaceae,Annona,squamosa,squamosa,
annona urbaniana,magerit,,Annonaceae,Annona,urbaniana,urbaniana,
arcoa gonavensis,,,Fabaceae,Arcoa,gonavensis,gonavensis,
ardisia angustata,,,Myrsinaceae,Ardisia,angustata,angustata,
ardisia brachypoda,,,Myrsinaceae,Ardisia,brachypoda,brachypoda,
ardisia obovata,,,Myrsinaceae,Ardisia,obovata,obovata,
ardisia picardae,,,Myrsinaceae,Ardisia,picardae,picardae,
artocarpus altilis,,,Moraceae,Artocarpus,altilis,altilis,
artocarpus heterophyllus,,,Moraceae,Artocarpus,heterophyllus,heterophyllus,
aspidosperma cuspa,laitye,,Apocynaceae,Aspidosperma,cuspa,cuspa,
ateleia gummifer,bwa santi,,Fabaceae,Ateleia,gummifer,gummifer,
ateleia microcarpa,,,Fabaceae,Ateleia,microcarpa,microcarpa,
attalea crassispatha,,,Arecaceae,Attalea,crassispatha,crassispatha,
averrhoa bilimbi,,,Oxalidaceae,Averrhoa,bilimbi,bilimbi,
bactris plumeriana,,,Arecaceae,Bactris,plumeriana,plumeriana,
bambusa vulgaris,,,Poaceae,Bambusa,vulgaris,vulgaris,
barringtonia asiatica,,,Lecythidaceae,Barringtonia,asiatica,asiatica,
bauhinia divaricata,,,Fabaceae,Bauhinia,divaricata,divaricata,
bauhinia variegata,,,Fabaceae,Bauhinia,variegata,variegata,
bernardia dichotoma,,,Euphorbiaceae,Bernardia,dichotoma,dichotoma,
blechnum underwoodianum,,,Blechnaceae,Blechnum,underwoodianum,underwoodianum,
blighia sapida,,,Sapindaceae,Blighia,sapida,sapida,
bombacopsis emarginata,,,Bombacaceae,Bombacopsis,emarginata,emarginata,
bourreria succulenta,,,Boraginaceae,Bourreria,succulenta,succulenta,
bourreria virgata,,,Boraginaceae,Bourreria,virgata,virgata,
brassaia actinophylla,,,Araliaceae,Brassaia,actinophylla,actinophylla,
brunfelsia americana,,,Solanaceae,Brunfelsia,americana,americana,
bucida spinosa,,,Combretaceae,Bucida,spinosa,spinosa,
bumelia obovata,,,Sapotaceae,Bumelia,obovata,obovata,
bunchosia media,bwa santi,,Malpighiaceae,Bunchosia,media,media,
bunchosia nitida,bwa santi,,Malpighiaceae,Bunchosia,nitida,nitida,
buxus glomerata,,,Buxaceae,Buxus,glomerata,glomerata,
byra buxifolia,,,Fabaceae,Byra,buxifolia,buxifolia,
byrsonima coriacea,,,Malpighiaceae,Byrsonima,coriacea,coriacea,
byrsonima crassifolia,,0.7,Malpighiaceae,Byrsonima,crassifolia,crassifolia,0.7
byrsonima lucida,,,Malpighiaceae,Byrsonima,lucida,lucida,
caesalpinia bahamensis,,,Fabaceae,Caesalpinia,bahamensis,bahamensis,
caesalpinia barahonensis,,,Fabaceae,Caesalpinia,barahonensis,barahonensis,
caesalpinia bonduc,,,Fabaceae,Caesalpinia,bonduc,bonduc,
caesalpinia brasilensis,,,Fabaceae,Caesalpinia,brasilensis,brasilensis,
caesalpinia ciliata,,,Fabaceae,Caesalpinia,ciliata,ciliata,
caesalpinia globulorum,,,Fabaceae,Caesalpinia,globulorum,globulorum,
caesalpinia pulcherrima,,,Fabaceae,Caesalpinia,pulcherrima,pulcherrima,
caesalpinia vesicaria,,,Fabaceae,Caesalpinia,vesicaria,vesicaria,
calliandra caracasana,,,Fabaceae,Calliandra,caracasana,caracasana,
calliandra cubensis,,,Fabaceae,Calliandra,cubensis,cubensis,
calliandra haematomma,,,Fabaceae,Calliandra,haematomma,haematomma,
calliandra nervosa,,,Fabaceae,Calliandra,nervosa,nervosa,
calliandra portoricensis,,,Fabaceae,Calliandra,portoricensis,portoricensis,
calliandra schultzei,,,Fabaceae,Calliandra,schultzei,schultzei,
calliandra surinamensis,,,Fabaceae,Calliandra,surinamensis,surinamensis,
callistemon citrinus,,,Myrtaceae,Callistemon,citrinus,citrinus,
calycogonium spp.,,0.74,Melastomataceae,Calycogonium,spp.,spp.,0.74
calyptranthes pallens,,,Myrtaceae,Calyptranthes,pallens,pallens,
calyptranthes sintenisii,,,Myrtaceae,Calyptranthes,sintenisii,sintenisii,
calyptranthes syzygium,,,Myrtaceae,Calyptranthes,syzygium,syzygium,
calyptronoma plumeriana,,,Arecaceae,Calyptronoma,plumeriana,plumeriana,
calyptronoma rivalis,,,Arecaceae,Calyptronoma,rivalis,rivalis,
cameraria angustifolia,,,Apocynaceae,Cameraria,angustifolia,angustifolia,
cameraria latifolia,bwa let,,Apocynaceae,Cameraria,latifolia,latifolia,
cameraria linearifolia,,,Apocynaceae,Cameraria,linearifolia,linearifolia,
capparis amplissima,,,Brassicaceae,Capparis,amplissima,amplissima,
capparis dolichopoda,,,Brassicaceae,Capparis,dolichopoda,dolichopoda,
capparis ferruginea,,,Brassicaceae,Capparis,ferruginea,ferruginea,
capparis gonaivensis,,,Brassicaceae,Capparis,gonaivensis,gonaivensis,
capparis hastata,,,Brassicaceae,Capparis,hastata,hastata,
capparis indica,,,Brassicaceae,Capparis,indica,indica,
carapa guianensis,,0.52-0.65,Meliaceae,Carapa,guianensis,guianensis,0.585
carpodiptera spp.,,,Tiliaceae,Carpodiptera,spp.,spp.,
casearia aculeata,,,Flacourtiaceae,Casearia,aculeata,aculeata,
casearia arborea,,,Flacourtiaceae,Casearia,arborea,arborea,
casearia decandra,,,Flacourtiaceae,Casearia,decandra,decandra,
casearia guianensis,,,Flacourtiaceae,Casearia,guianensis,guianensis,
casearia ilicifolia,,,Flacourtiaceae,Casearia,ilicifolia,ilicifolia,
casearia sylvestris,,,Flacourtiaceae,Casearia,sylvestris,sylvestris,
casimora edulis,,,Rutaceae,Casimora,edulis,edulis,
cassine xylocarpa,,,Celastraceae,Cassine,xylocarpa,xylocarpa,
cassipourea guianensis,,,Rhizophoraceae,Cassipourea,guianensis,guianensis,
cassipourea obtusa,,,Rhizophoraceae,Cassipourea,obtusa,obtusa,
castanea sativa,,,Fagaceae,Castanea,sativa,sativa,
castella depressa,,,Simaroubaceae,Castella,depressa,depressa,
castilla elastica supsp. elastica,,,Moraceae,Castilla,elastica supsp. elastica,elastica,
casuarina cristata,,,Casuarinaceae,Casuarina,cristata,cristata,
casuarina equisetifolia,,,Casuarinaceae,Casuarina,equisetifolia,equisetifolia,
casuarina glauca,,,Casuarinaceae,Casuarina,glauca,glauca,
cercidium praecox,,,Fabaceae,Cercidium,praecox,praecox,
cereus hexagonus,,,Cactaceae,Cereus,hexagonus,hexagonus,
cestrum diurnum,,,Solanaceae,Cestrum,diurnum,diurnum,
cestrum macrophyllum,,,Solanaceae,Cestrum,macrophyllum,macrophyllum,
cestrum nocturnum,,,Solanaceae,Cestrum,nocturnum,nocturnum,
chaetocarpus globosus,,,Euphorbiaceae,Chaetocarpus,globosus,globosus,
chiococca alba,,,Rubiaceae,Chiococca,alba,alba,
chionanthus axilliflorus,,,Oleaceae,Chionanthus,axilliflorus,axilliflorus,
chionanthus compactus,,,Oleaceae,Chionanthus,compactus,compactus,
chionanthus ligustrinus,,,Oleaceae,Chionanthus,ligustrinus,ligustrinus,
chione venosa,,,Rubiaceae,Chione,venosa,venosa,
chorisia insignis,,,Bombacaceae,Chorisia,insignis,insignis,
chorisia speciosa,,,Bombacaceae,Chorisia,speciosa,speciosa,
chrysalidocarpus lutescens,,,Arecaceae,Chrysalidocarpus,lutescens,lutescens,
chrysophyllum bicolor,,,Sapotaceae,Chrysophyllum,bicolor,bicolor,
cinnamodendron ekmanii,,,Canellaceae,Cinnamodendron,ekmanii,ekmanii,
cinnamomum camphora,lorie,,Lauraceae,Cinnamomum,camphora,camphora,
cinnamomum montanum,lorie,,Lauraceae,Cinnamomum,montanum,montanum,
cinnamomum triplinervis,lorie,,Lauraceae,Cinnamomum,triplinervis,triplinervis,
citrus aurantifolia,sitwon vet,,Rutaceae,Citrus,aurantifolia,aurantifolia,
citrus aurantifolia,sitwon,,Rutaceae,Citrus,aurantifolia,aurantifolia,
citrus aurantifolia,zoranj,,Rutaceae,Citrus,aurantifolia,aurantifolia,
citrus aurantium,sitwon,,Rutaceae,Citrus,aurantium,aurantium,
citrus aurantium,zoranj,,Rutaceae,Citrus,aurantium,aurantium,
citrus aurantium,zoranj si,,Rutaceae,Citrus,aurantium,aurantium,
citrus limetta,sitwon,,Rutaceae,Citrus,limetta,limetta,
citrus limetta,zoranj,,Rutaceae,Citrus,limetta,limetta,
citrus limon,sitwon,,Rutaceae,Citrus,limon,limon,
citrus limon,zoranj,,Rutaceae,Citrus,limon,limon,
citrus maxima,sitwon,,Rutaceae,Citrus,maxima,maxima,
citrus maxima,zoranj,,Rutaceae,Citrus,maxima,maxima,
citrus maxima,chadek,,Rutaceae,Citrus,maxima,maxima,
citrus medica,sitwon,,Rutaceae,Citrus,medica,medica,
citrus medica,zoranj,,Rutaceae,Citrus,medica,medica,
citrus reticulata,mandaren,,Rutaceae,Citrus,reticulata,reticulata,
citrus reticulata,sitwon,,Rutaceae,Citrus,reticulata,reticulata,
citrus reticulata,zoranj,,Rutaceae,Citrus,reticulata,reticulata,
citrus sinensis,sitwon,,Rutaceae,Citrus,sinensis,sinensis,
citrus sinensis,zoranj,,Rutaceae,Citrus,sinensis,sinensis,
citrus sinensis,zoranj dous,,Rutaceae,Citrus,sinensis,sinensis,
citrus x paradisi,pamplemous,,Rutaceae,Citrus,x paradisi,x,
citrus x paradisi,sitwon,,Rutaceae,Citrus,x paradisi,x,
citrus x paradisi,zoranj,,Rutaceae,Citrus,x paradisi,x,
clavija domingensis,,,Theophrastaceae,Clavija,domingensis,domingensis,
cleyera spp.,,,Theaceae,Cleyera,spp.,spp.,
clusia clusiodes,,0.9,Clusiaceae,Clusia,clusiodes,clusiodes,0.9
clusia major,,,Clusiaceae,Clusia,major,major,
cnemidaria horrida,,,Cyatheaceae,Cnemidaria,horrida,horrida,
coccoloba buchii,,,Polygonaceae,Coccoloba,buchii,buchii,
coccoloba krugii,,,Polygonaceae,Coccoloba,krugii,krugii,
coccoloba leoganensis,,0.82-0.97,Polygonaceae,Coccoloba,leoganensis,leoganensis,0.895
coccoloba microstachys,,,Polygonaceae,Coccoloba,microstachys,microstachys,
coccoloba swartzii,,0.7,Polygonaceae,Coccoloba,swartzii,swartzii,0.7
coccoloba venosa,,,Polygonaceae,Coccoloba,venosa,venosa,
coccoloba wrightii,,,Polygonaceae,Coccoloba,wrightii,wrightii,
coccothrinax argentea,gwenn,,Arecaceae,Coccothrinax,argentea,argentea,
coccothrinax argentea,latanye,,Arecaceae,Coccothrinax,argentea,argentea,
coccothrinax ekmanii,gwenn,,Arecaceae,Coccothrinax,ekmanii,ekmanii,
coccothrinax gracilis,,,Arecaceae,Coccothrinax,gracilis,gracilis,
coccothrinax miraguama,,,Arecaceae,Coccothrinax,miraguama,miraguama,
coccothrinax spissa,,,Arecaceae,Coccothrinax,spissa,spissa,
cochlospermum vitifolium,,,Cochlospermaceae,Cochlospermum,vitifolium,vitifolium,
codiaeum variegatum,,,Euphorbiaceae,Codiaeum,variegatum,variegatum,
cola acuminata,,,Malvaceae,Cola,acuminata,acuminata,
colubrina berteroana,,,Rhamnaceae,Colubrina,berteroana,berteroana,
colubrina glandulosa,,,Rhamnaceae,Colubrina,glandulosa,glandulosa,
comocladia cuneata,,,Anacardiaceae,Comocladia,cuneata,cuneata,
comocladia dentata,,,Anacardiaceae,Comocladia,dentata,dentata,
comocladia dodonaea,,,Anacardiaceae,Comocladia,dodonaea,dodonaea,
comocladia domingensis,,,Anacardiaceae,Comocladia,domingensis,domingensis,
comocladia edmaniana,,,Anacardiaceae,Comocladia,edmaniana,edmaniana,
comocladia ehrenbergii,,,Anacardiaceae,Comocladia,ehrenbergii,ehrenbergii,
comocladia gilgiana,,,Anacardiaceae,Comocladia,gilgiana,gilgiana,
comocladia glabra,,,Anacardiaceae,Comocladia,glabra,glabra,
comocladia mollifolia,,,Anacardiaceae,Comocladia,mollifolia,mollifolia,
comocladia pinnatifolia,,,Anacardiaceae,Comocladia,pinnatifolia,pinnatifolia,
comocladia pubescens,,,Anacardiaceae,Comocladia,pubescens,pubescens,
consolea macracantha,,,Cactaceae,Consolea,macracantha,macracantha,
copaifera officinalis,,,Fabaceae,Copaifera,officinalis,officinalis,
copernicia berteroana,,,Arecaceae,Copernicia,berteroana,berteroana,
copernicia ekmanii,,,Arecaceae,Copernicia,ekmanii,ekmanii,
cordia gerascanthes,,,Boraginaceae,Cordia,gerascanthes,gerascanthes,
cordia laevigata,bwa poupe,,Boraginaceae,Cordia,laevigata,laevigata,
cordia laevigata,bwa popit,,Boraginaceae,Cordia,laevigata,laevigata,
cordia mirabiloides,,,Boraginaceae,Cordia,mirabiloides,mirabiloides,
cordia obliqua,,,Boraginaceae,Cordia,obliqua,obliqua,
cornutia pyramidata,,,Verbenaceae,Cornutia,pyramidata,pyramidata,
couroupita guianensis,,,Lecythidaceae,Couroupita,guianensis,guianensis,
crescentia linearifolia,,,Bignoniaceae,Crescentia,linearifolia,linearifolia,
croton corylifolius,,,Euphorbiaceae,Croton,corylifolius,corylifolius,
croton eluteria,,,Euphorbiaceae,Croton,eluteria,eluteria,
croton glabellus,,,Euphorbiaceae,Croton,glabellus,glabellus,
croton lucidus,,,Euphorbiaceae,Croton,lucidus,lucidus,
crudia spicata,,,Fabaceae,Crudia,spicata,spicata,
cryptorhiza haitiensis,,,Myrtaceae,Cryptorhiza,haitiensis,haitiensis,
cubanthus umbelliformis,,,Euphorbiaceae,Cubanthus,umbelliformis,umbelliformis,
cupania glabra,,,Sapindaceae,Cupania,glabra,glabra,
cupania triquetra,,,Sapindaceae,Cupania,triquetra,triquetra,
