sp_creole,dbh_cm,ht_m,ba_m2,plot_no,plot_shp,plot_area,genus
nim,12.0,7.0,0.011309733552923255,14,Decameron.shp,0.545582,Azadirachta
nim,8.0,6.5,0.005026548245743669,14,Decameron.shp,0.545582,Azadirachta
kampech,6.2,4.0,0.003019070540099791,14,Decameron.shp,0.545582,Haematoxylon
kampech,7.5,4.5,0.004417864669110647,14,Decameron.shp,0.545582,Haematoxylon
flambwayan,6.3,5.0,0.0031172453105244723,14,Decameron.shp,0.545582,Delonix
flambwayan,8.2,6.5,0.005281017250684441,14,Decameron.shp,0.545582,Delonix
kasya,7.0,5.0,0.003848451000647497,14,Decameron.shp,0.545582,Senna
flambwayan,8.0,,0.005026548245743669,14,Decameron.shp,0.545582,Delonix
kasya,7.0,5.5,0.003848451000647497,14,Decameron.shp,0.545582,Senna
nim,6.4,5.5,0.003216990877275948,14,Decameron.shp,0.545582,Azadirachta
kasya,5.1,5.0,0.0020428206229967626,14,Decameron.shp,0.545582,Senna
kampech,5.3,6.0,0.002206183440983432,14,Decameron.shp,0.545582,Haematoxylon
kampech,6.0,,0.0028274333882308137,14,Decameron.shp,0.545582,Haematoxylon
kampech,7.3,,0.004185386812745002,14,Decameron.shp,0.545582,Haematoxylon
kampech,5.5,,0.002375829444277281,14,Decameron.shp,0.545582,Haematoxylon
kampech,5.0,,0.001963495408493621,14,Decameron.shp,0.545582,Haematoxylon
kasya,22.0,10.0,0.0380132711084365,14,Decameron.shp,0.545582,Senna
nim,8.0,5.0,0.005026548245743669,14,Decameron.shp,0.545582,Azadirachta
flambwayan,7.0,5.0,0.003848451000647497,14,Decameron.shp,0.545582,Delonix
nim,7.5,5.5,0.004417864669110647,14,Decameron.shp,0.545582,Azadirachta
kasya,6.0,5.0,0.0028274333882308137,14,Decameron.shp,0.545582,Senna
nim,8.0,5.0,0.005026548245743669,14,Decameron.shp,0.545582,Azadirachta
flambwayan,8.0,6.0,0.005026548245743669,14,Decameron.shp,0.545582,Delonix
flambwayan,9.0,6.0,0.0063617251235193305,14,Decameron.shp,0.545582,Delonix
bwa doule,5.7,4.0,0.0025517586328783095,14,Decameron.shp,0.545582,Morinda
flambwayan,7.5,6.0,0.004417864669110647,14,Decameron.shp,0.545582,Delonix
flambwayan,7.5,5.5,0.004417864669110647,14,Decameron.shp,0.545582,Delonix
nim,5.2,4.2,0.0021237166338267006,14,Decameron.shp,0.545582,Azadirachta
nim,6.1,4.5,0.002922466566001905,14,Decameron.shp,0.545582,Azadirachta
flambwayan,24.4,,0.04675946505603048,14,Decameron.shp,0.545582,Delonix
kasya,5.5,,0.002375829444277281,14,Decameron.shp,0.545582,Senna
kasya,4.6,,0.0016619025137490004,14,Decameron.shp,0.545582,Senna
flambwayan,4.9,,0.0018857409903172736,14,Decameron.shp,0.545582,Delonix
flambwayan,4.5,,0.0015904312808798326,14,Decameron.shp,0.545582,Delonix
kasya,42.9,,0.14454546338982976,14,Decameron.shp,0.545582,Senna
flambwayan,43.8,,0.15067392525882004,14,Decameron.shp,0.545582,Delonix
flambwayan,47.5,,0.17720546061654927,14,Decameron.shp,0.545582,Delonix
flambwayan,41.5,,0.13526519869112552,14,Decameron.shp,0.545582,Delonix
kasya,4.5,,0.0015904312808798326,14,Decameron.shp,0.545582,Senna
nim,34.3,,0.09240130852554637,14,Decameron.shp,0.545582,Azadirachta
flambwayan,33.0,,0.08552985999398213,14,Decameron.shp,0.545582,Delonix
benzoliv,16.0,,0.020106192982974676,14,Decameron.shp,0.545582,Moringa
flambwayan,26.3,,0.05432520556403811,14,Decameron.shp,0.545582,Delonix
nim,28.4,,0.06334707426698458,14,Decameron.shp,0.545582,Azadirachta
nim,28.5,,0.06379396582195773,14,Decameron.shp,0.545582,Azadirachta
nim,37.0,,0.10752100856911066,14,Decameron.shp,0.545582,Azadirachta
nim,14.0,,0.015393804002589988,14,Decameron.shp,0.545582,Azadirachta
nim,19.5,,0.029864765163187975,14,Decameron.shp,0.545582,Azadirachta
nim,40.5,,0.12882493375126647,14,Decameron.shp,0.545582,Azadirachta
nim,40.0,,0.12566370614359174,14,Decameron.shp,0.545582,Azadirachta
kasya,28.0,,0.06157521601035995,14,Decameron.shp,0.545582,Senna
kasya,35.5,,0.09897980354216342,14,Decameron.shp,0.545582,Senna
kampech,24.3,,0.04637697615045592,14,Decameron.shp,0.545582,Haematoxylon
nim,12.2,,0.01168986626400762,14,Decameron.shp,0.545582,Azadirachta
kasya,5.0,,0.001963495408493621,14,Decameron.shp,0.545582,Senna
flambwayan,5.2,,0.0021237166338267006,14,Decameron.shp,0.545582,Delonix
flambwayan,31.3,10.0,0.07694467266988461,14,Decameron.shp,0.545582,Delonix
kasya,6.9,5.0,0.0037392806559352516,14,Decameron.shp,0.545582,Senna
kasya,7.0,5.0,0.003848451000647497,14,Decameron.shp,0.545582,Senna
kasya,8.5,4.5,0.005674501730546565,14,Decameron.shp,0.545582,Senna
kasya,13.4,4.0,0.014102609421964583,14,Decameron.shp,0.545582,Senna
kasya,22.0,6.0,0.0380132711084365,14,Decameron.shp,0.545582,Senna
nim,8.5,8.0,0.005674501730546565,14,Decameron.shp,0.545582,Azadirachta
latanye,29.5,14.0,0.06834927516966292,14,Decameron.shp,0.545582,Coccothrinax
bayawonn,5.3,6.0,0.002206183440983432,14,Decameron.shp,0.545582,Prosopis
kasya,6.0,8.0,0.0028274333882308137,14,Decameron.shp,0.545582,Senna
flambwayan,39.0,12.0,0.1194590606527519,14,Decameron.shp,0.545582,Delonix
nim,10.4,,0.008494866535306803,14,Decameron.shp,0.545582,Azadirachta
flambwayan,7.8,7.0,0.004778362426110076,14,Decameron.shp,0.545582,Delonix
flambwayan,8.1,6.5,0.005152997350050658,14,Decameron.shp,0.545582,Delonix
kasya,8.1,5.1,0.005152997350050658,14,Decameron.shp,0.545582,Senna
nim,6.1,,0.002922466566001905,14,Decameron.shp,0.545582,Azadirachta
flambwayan,8.0,6.0,0.005026548245743669,14,Decameron.shp,0.545582,Delonix
latanye,36.1,12.0,0.10235387405211885,14,Decameron.shp,0.545582,Coccothrinax
kasya,14.1,10.0,0.015614500886504666,14,Decameron.shp,0.545582,Senna
kasya,7.1,9.0,0.003959192141686536,14,Decameron.shp,0.545582,Senna
kasya,8.0,6.0,0.005026548245743669,14,Decameron.shp,0.545582,Senna
nim,6.0,4.0,0.0028274333882308137,14,Decameron.shp,0.545582,Azadirachta
kasya,5.5,12.0,0.002375829444277281,14,Decameron.shp,0.545582,Senna
kasya,32.7,14.0,0.08398184021392575,14,Decameron.shp,0.545582,Senna
flambwayan,7.0,,0.003848451000647497,14,Decameron.shp,0.545582,Delonix
kasya,5.2,6.0,0.0021237166338267006,14,Decameron.shp,0.545582,Senna
kasya,38.5,14.0,0.11641564276958677,14,Decameron.shp,0.545582,Senna
kasya,16.5,4.0,0.021382464998495533,14,Decameron.shp,0.545582,Senna
kasya,5.3,7.0,0.002206183440983432,14,Decameron.shp,0.545582,Senna
nim,10.0,7.0,0.007853981633974483,14,Decameron.shp,0.545582,Azadirachta
flambwayan,8.0,8.0,0.005026548245743669,14,Decameron.shp,0.545582,Delonix
kasya,26.0,9.0,0.05309291584566751,14,Decameron.shp,0.545582,Senna
flambwayan,8.5,,0.005674501730546565,14,Decameron.shp,0.545582,Delonix
flambwayan,8.0,,0.005026548245743669,14,Decameron.shp,0.545582,Delonix
nim,8.5,6.0,0.005674501730546565,14,Decameron.shp,0.545582,Azadirachta
kasya,37.3,,0.10927166107532359,14,Decameron.shp,0.545582,Senna
flambwayan,7.0,,0.003848451000647497,14,Decameron.shp,0.545582,Delonix
figye,10.3,,0.00833228911548353,14,Decameron.shp,0.545582,Clusia
flambwayan,18.4,,0.026590440219984007,14,Decameron.shp,0.545582,Delonix
kasya,25.0,10.0,0.04908738521234052,14,Decameron.shp,0.545582,Senna
kasya,18.0,10.0,0.025446900494077322,14,Decameron.shp,0.545582,Senna
flambwayan,5.0,4.5,0.001963495408493621,14,Decameron.shp,0.545582,Delonix
flambwayan,6.2,5.0,0.003019070540099791,14,Decameron.shp,0.545582,Delonix
nim,10.3,6.0,0.00833228911548353,14,Decameron.shp,0.545582,Azadirachta
kasya,6.4,7.0,0.003216990877275948,14,Decameron.shp,0.545582,Senna
flambwayan,5.3,7.0,0.002206183440983432,14,Decameron.shp,0.545582,Delonix
flambwayan,11.4,8.0,0.010207034531513238,14,Decameron.shp,0.545582,Delonix
flambwayan,38.3,,0.11520927119060825,14,Decameron.shp,0.545582,Delonix
flambwayan,8.5,,0.005674501730546565,14,Decameron.shp,0.545582,Delonix
nim,10.4,3.0,0.008494866535306803,14,Decameron.shp,0.545582,Azadirachta
flambwayan,8.4,6.0,0.005541769440932396,14,Decameron.shp,0.545582,Delonix
mango,50.4,9.4,0.19950369987356623,15,Deluge_.shp,2.002474,Mangifera
kokoye,28.3,9.6,0.06290175350833825,15,Deluge_.shp,2.002474,Cocos
chenn,6.0,3.6,0.0028274333882308137,15,Deluge_.shp,2.002474,Catalpa
mango,41.2,11.4,0.1333166258477365,15,Deluge_.shp,2.002474,Mangifera
kokoye,29.7,13.2,0.06927918659512551,15,Deluge_.shp,2.002474,Cocos
kokoye,23.4,,0.04300526183499067,15,Deluge_.shp,2.002474,Cocos
zaboka,29.4,,0.06788667565142183,15,Deluge_.shp,2.002474,Persea
zabriko,8.5,8.0,0.005674501730546565,15,Deluge_.shp,2.002474,Rheedia
mango,25.3,3.0,0.05027255104090726,15,Deluge_.shp,2.002474,Mangifera
kokoye,28.2,,0.062458003546018666,15,Deluge_.shp,2.002474,Cocos
mango,60.1,,0.2836866020173217,15,Deluge_.shp,2.002474,Mangifera
zaboka,18.6,8.0,0.027171634860898127,15,Deluge_.shp,2.002474,Persea
zaboka,12.4,8.6,0.012076282160399163,15,Deluge_.shp,2.002474,Persea
zaboka,11.2,8.4,0.00985203456165759,15,Deluge_.shp,2.002474,Persea
mango,59.6,,0.27898599400938795,15,Deluge_.shp,2.002474,Mangifera
mango,25.4,,0.05067074790974978,15,Deluge_.shp,2.002474,Mangifera
twompet,5.5,4.0,0.002375829444277281,15,Deluge_.shp,2.002474,Cecropia
mango,44.4,,0.15483025233951936,15,Deluge_.shp,2.002474,Mangifera
zaboka,8.4,,0.005541769440932396,15,Deluge_.shp,2.002474,Persea
zaboka,7.3,,0.004185386812745002,15,Deluge_.shp,2.002474,Persea
mango,46.1,8.4,0.16691360308338912,15,Deluge_.shp,2.002474,Mangifera
chenn,11.3,6.2,0.010028749148422018,15,Deluge_.shp,2.002474,Catalpa
mango,54.4,7.0,0.2324275908831873,15,Deluge_.shp,2.002474,Mangifera
mango,32.3,8.8,0.08193980498909235,15,Deluge_.shp,2.002474,Mangifera
mango,10.1,5.0,0.008011846664817369,15,Deluge_.shp,2.002474,Mangifera
kokoye,33.5,,0.08814130888727865,15,Deluge_.shp,2.002474,Cocos
kokoye,32.1,7.6,0.08092821215463647,15,Deluge_.shp,2.002474,Cocos
kokoye,30.5,,0.07306166415004763,15,Deluge_.shp,2.002474,Cocos
kokoye,25.5,9.2,0.051070515574919075,15,Deluge_.shp,2.002474,Cocos
latanye lame,24.5,8.5,0.04714352475793183,15,Deluge_.shp,2.002474,Thrinax
latanye lame,17.6,8.6,0.024328493509399363,15,Deluge_.shp,2.002474,Thrinax
latanye lame,22.9,,0.04118706508672558,15,Deluge_.shp,2.002474,Thrinax
latanye lame,30.7,11.3,0.07402299150204611,15,Deluge_.shp,2.002474,Thrinax
latanye lame,26.8,11.0,0.056410437687858334,15,Deluge_.shp,2.002474,Thrinax
latanye lame,55.7,11.6,0.24366899479589496,15,Deluge_.shp,2.002474,Thrinax
latanye,18.5,,0.026880252142277666,15,Deluge_.shp,2.002474,Coccothrinax
latanye,10.4,,0.008494866535306803,15,Deluge_.shp,2.002474,Coccothrinax
kowosol,10.7,,0.008992023572737385,15,Deluge_.shp,2.002474,Annona
kowosol,5.5,,0.002375829444277281,15,Deluge_.shp,2.002474,Annona
kowosol,10.0,,0.007853981633974483,15,Deluge_.shp,2.002474,Annona
kowosol,7.7,,0.004656625710783471,15,Deluge_.shp,2.002474,Annona
latanye lame,10.4,,0.008494866535306803,15,Deluge_.shp,2.002474,Thrinax
kokoye,22.1,6.6,0.038359631698494774,15,Deluge_.shp,2.002474,Cocos
mango,25.5,,0.051070515574919075,15,Deluge_.shp,2.002474,Mangifera
mango,33.4,,0.08761587751596572,15,Deluge_.shp,2.002474,Mangifera
mango,42.4,,0.14119574022293965,15,Deluge_.shp,2.002474,Mangifera
mango,51.4,10.0,0.20749905317695225,15,Deluge_.shp,2.002474,Mangifera
zaboka,26.7,,0.055990249670440695,15,Deluge_.shp,2.002474,Persea
mango,31.5,7.4,0.07793113276311181,15,Deluge_.shp,2.002474,Mangifera
kokoye,45.1,7.6,0.15975077183320438,15,Deluge_.shp,2.002474,Cocos
kokoye,51.2,,0.20588741614566067,15,Deluge_.shp,2.002474,Cocos
latanye lame,16.1,,0.02035830579342526,15,Deluge_.shp,2.002474,Thrinax
kokoye,26.1,,0.053502108288797576,15,Deluge_.shp,2.002474,Cocos
latanye lame,48.4,,0.18398423216483265,15,Deluge_.shp,2.002474,Thrinax
latanye lame,16.5,,0.021382464998495533,15,Deluge_.shp,2.002474,Thrinax
mango,40.4,12.6,0.1281895466370779,15,Deluge_.shp,2.002474,Mangifera
zaboka,35.2,8.4,0.09731397403759745,15,Deluge_.shp,2.002474,Persea
chenn,15.1,8.0,0.017907863523625216,15,Deluge_.shp,2.002474,Catalpa
mango,43.5,,0.14861696746888214,15,Deluge_.shp,2.002474,Mangifera
latanye lame,26.7,,0.055990249670440695,15,Deluge_.shp,2.002474,Thrinax
mango,47.7,,0.17870085871965805,15,Deluge_.shp,2.002474,Mangifera
latanye lame,44.4,,0.15483025233951936,15,Deluge_.shp,2.002474,Thrinax
latanye lame,59.5,14.8,0.27805058479678163,15,Deluge_.shp,2.002474,Thrinax
latanye lame,51.5,14.0,0.20830722788708822,15,Deluge_.shp,2.002474,Thrinax
latanye lame,37.1,13.9,0.10810298860818816,15,Deluge_.shp,2.002474,Thrinax
latanye lame,15.9,,0.01985565096885089,15,Deluge_.shp,2.002474,Thrinax
kokoye,25.8,9.0,0.052279243348387745,15,Deluge_.shp,2.002474,Cocos
mango,85.9,,0.5795303822058726,15,Deluge_.shp,2.002474,Mangifera
kokoye,34.7,,0.09456900745652336,15,Deluge_.shp,2.002474,Cocos
latanye lame,10.9,5.6,0.009331315579325082,15,Deluge_.shp,2.002474,Thrinax
mango,56.5,,0.25071872871055034,15,Deluge_.shp,2.002474,Mangifera
mango,69.1,11.2,0.37501270045717694,15,Deluge_.shp,2.002474,Mangifera
mango,41.7,9.0,0.13657210123501892,15,Deluge_.shp,2.002474,Mangifera
mango,49.4,,0.1916654262028597,15,Deluge_.shp,2.002474,Mangifera
mango,45.5,11.0,0.16259705477735675,15,Deluge_.shp,2.002474,Mangifera
latanye lame,16.5,,0.021382464998495533,15,Deluge_.shp,2.002474,Thrinax
kokoye,28.5,10.2,0.06379396582195773,15,Deluge_.shp,2.002474,Cocos
mango,40.5,8.2,0.12882493375126647,15,Deluge_.shp,2.002474,Mangifera
kokoye,22.8,,0.04082813812605295,15,Deluge_.shp,2.002474,Cocos
latanye lame,19.4,,0.029559245277626354,15,Deluge_.shp,2.002474,Thrinax
latanye lame,16.5,,0.021382464998495533,15,Deluge_.shp,2.002474,Thrinax
latanye,27.2,,0.05810689772079682,15,Deluge_.shp,2.002474,Coccothrinax
latanye lame,47.3,,0.1757163456987477,15,Deluge_.shp,2.002474,Thrinax
latanye lame,75.5,,0.44769658809063045,15,Deluge_.shp,2.002474,Thrinax
latanye lame,70.1,,0.38594544289166943,15,Deluge_.shp,2.002474,Thrinax
mango,37.1,7.2,0.10810298860818816,15,Deluge_.shp,2.002474,Mangifera
latanye lame,28.5,8.0,0.06379396582195773,15,Deluge_.shp,2.002474,Thrinax
latanye lame,25.9,,0.05268529419886423,15,Deluge_.shp,2.002474,Thrinax
mango,31.1,10.0,0.0759644957619646,15,Deluge_.shp,2.002474,Mangifera
mango,26.3,9.8,0.05432520556403811,15,Deluge_.shp,2.002474,Mangifera
latanye lame,47.8,,0.17945091396570256,15,Deluge_.shp,2.002474,Thrinax
latanye lame,37.3,12.0,0.10927166107532359,15,Deluge_.shp,2.002474,Thrinax
latanye lame,36.4,12.4,0.10406211505750831,15,Deluge_.shp,2.002474,Thrinax
latanye lame,43.5,14.2,0.14861696746888214,15,Deluge_.shp,2.002474,Thrinax
latanye lame,14.7,,0.016971668912855457,15,Deluge_.shp,2.002474,Thrinax
latanye lame,25.5,,0.051070515574919075,15,Deluge_.shp,2.002474,Thrinax
latanye lame,29.1,,0.06650830187465934,15,Deluge_.shp,2.002474,Thrinax
latanye lame,38.5,,0.11641564276958677,15,Deluge_.shp,2.002474,Thrinax
kokoye,29.5,,0.06834927516966292,15,Deluge_.shp,2.002474,Cocos
mango,63.7,,0.3186902273636192,15,Deluge_.shp,2.002474,Mangifera
mango,47.1,,0.17423351396625336,15,Deluge_.shp,2.002474,Mangifera
mango,31.3,,0.07694467266988461,15,Deluge_.shp,2.002474,Mangifera
latanye lame,11.9,6.7,0.011122023391871266,15,Deluge_.shp,2.002474,Thrinax
latanye lame,43.4,12.2,0.14793445646488976,15,Deluge_.shp,2.002474,Thrinax
latanye lame,45.4,12.0,0.16188312784682843,15,Deluge_.shp,2.002474,Thrinax
mango,10.4,,0.008494866535306803,15,Deluge_.shp,2.002474,Mangifera
latanye lame,17.2,6.6,0.023235219265950107,15,Deluge_.shp,2.002474,Thrinax
chenn,31.5,14.0,0.07793113276311181,15,Deluge_.shp,2.002474,Catalpa
mango,43.5,,0.14861696746888214,15,Deluge_.shp,2.002474,Mangifera
mango,37.1,9.2,0.10810298860818816,15,Deluge_.shp,2.002474,Mangifera
latanye lame,38.3,11.8,0.11520927119060825,15,Deluge_.shp,2.002474,Thrinax
mango,53.5,8.2,0.22480058931843463,15,Deluge_.shp,2.002474,Mangifera
monben,6.7,,0.003525652355491146,15,Deluge_.shp,2.002474,Spondias
mango,40.9,,0.13138219017128852,15,Deluge_.shp,2.002474,Mangifera
latanye,28.5,,0.06379396582195773,15,Deluge_.shp,2.002474,Coccothrinax
latanye,16.0,,0.020106192982974676,15,Deluge_.shp,2.002474,Coccothrinax
mango,42.9,,0.14454546338982976,15,Deluge_.shp,2.002474,Mangifera
mango,44.7,,0.15692962163028076,15,Deluge_.shp,2.002474,Mangifera
latanye,16.5,,0.021382464998495533,15,Deluge_.shp,2.002474,Coccothrinax
latanye lame,66.5,,0.3473227028084366,15,Deluge_.shp,2.002474,Thrinax
mango,10.4,,0.008494866535306803,15,Deluge_.shp,2.002474,Mangifera
mango,22.1,,0.038359631698494774,15,Deluge_.shp,2.002474,Mangifera
latanye lame,48.1,,0.18171050448179707,15,Deluge_.shp,2.002474,Thrinax
latanye lame,40.0,,0.12566370614359174,15,Deluge_.shp,2.002474,Thrinax
latanye lame,40.1,,0.1262928100724731,15,Deluge_.shp,2.002474,Thrinax
latanye lame,38.9,,0.11884723548346528,15,Deluge_.shp,2.002474,Thrinax
zaboka,34.9,,0.09566228169997258,15,Deluge_.shp,2.002474,Persea
zaboka,20.4,,0.0326851299679482,15,Deluge_.shp,2.002474,Persea
sitwon,15.5,,0.018869190875623696,15,Deluge_.shp,2.002474,Citrus
mango,47.4,,0.17646011775948509,15,Deluge_.shp,2.002474,Mangifera
mango,45.9,,0.16546847046273777,15,Deluge_.shp,2.002474,Mangifera
latanye lame,81.5,,0.52168109508267,15,Deluge_.shp,2.002474,Thrinax
latanye lame,29.5,,0.06834927516966292,15,Deluge_.shp,2.002474,Thrinax
mango,54.4,,0.2324275908831873,15,Deluge_.shp,2.002474,Mangifera
bwa dom,31.5,,0.07793113276311181,15,Deluge_.shp,2.002474,Guazuma
bwa dom,32.3,,0.08193980498909235,15,Deluge_.shp,2.002474,Guazuma
kokoye,38.5,,0.11641564276958677,15,Deluge_.shp,2.002474,Cocos
chenn,21.2,,0.03529893505573491,15,Deluge_.shp,2.002474,Catalpa
mango,115.9,13.6,1.0550104303266878,15,Deluge_.shp,2.002474,Mangifera
zamann,47.3,12.0,0.1757163456987477,16,2Delugert.shp,0.797335,Terminalia
mango,29.5,26.4,0.06834927516966292,16,2Delugert.shp,0.797335,Mangifera
kokoye,22.2,8.5,0.03870756308487984,16,2Delugert.shp,0.797335,Cocos
kokoye,21.5,,0.036305030103047045,16,2Delugert.shp,0.797335,Cocos
kokoye,19.5,,0.029864765163187975,16,2Delugert.shp,0.797335,Cocos
mango,38.5,12.2,0.11641564276958677,16,2Delugert.shp,0.797335,Mangifera
kokoye,20.1,7.0,0.031730871199420314,16,2Delugert.shp,0.797335,Cocos
mango,27.2,,0.05810689772079682,16,2Delugert.shp,0.797335,Mangifera
kokoye,27.9,,0.06113617843702075,16,2Delugert.shp,0.797335,Cocos
kokoye,20.2,,0.032047386659269476,16,2Delugert.shp,0.797335,Cocos
kokoye,19.7,,0.030480517323291562,16,2Delugert.shp,0.797335,Cocos
mango,26.7,11.0,0.055990249670440695,16,2Delugert.shp,0.797335,Mangifera
kokoye,20.5,,0.03300635781677776,16,2Delugert.shp,0.797335,Cocos
kokoye,20.4,,0.0326851299679482,16,2Delugert.shp,0.797335,Cocos
mango,20.4,,0.0326851299679482,16,2Delugert.shp,0.797335,Mangifera
mango,23.7,,0.04411502943987127,16,2Delugert.shp,0.797335,Mangifera
mango,27.5,,0.05939573610693204,16,2Delugert.shp,0.797335,Mangifera
kokoye,22.3,8.0,0.03905706526759171,16,2Delugert.shp,0.797335,Cocos
mango,37.4,9.4,0.10985835350338148,16,2Delugert.shp,0.797335,Mangifera
kokoye,22.9,,0.04118706508672558,16,2Delugert.shp,0.797335,Cocos
mango,25.6,6.4,0.05147185403641517,16,2Delugert.shp,0.797335,Mangifera
mango,17.5,,0.02405281875404685,16,2Delugert.shp,0.797335,Mangifera
mango,22.5,,0.03976078202199582,16,2Delugert.shp,0.797335,Mangifera
kokoye,22.7,,0.04047078196170711,16,2Delugert.shp,0.797335,Cocos
kokoye,20.3,8.5,0.03236547291544545,16,2Delugert.shp,0.797335,Cocos
sitwon,5.5,3.5,0.002375829444277281,16,2Delugert.shp,0.797335,Citrus
kokoye,20.5,,0.03300635781677776,16,2Delugert.shp,0.797335,Cocos
kokoye,21.5,,0.036305030103047045,16,2Delugert.shp,0.797335,Cocos
mango,31.3,,0.07694467266988461,16,2Delugert.shp,0.797335,Mangifera
kokoye,19.5,,0.029864765163187975,16,2Delugert.shp,0.797335,Cocos
kokoye,21.8,7.2,0.03732526231730033,16,2Delugert.shp,0.797335,Cocos
kokoye,22.2,,0.03870756308487984,16,2Delugert.shp,0.797335,Cocos
kokoye,20.5,8.8,0.03300635781677776,16,2Delugert.shp,0.797335,Cocos
kokoye,31.4,9.2,0.07743711731833482,16,2Delugert.shp,0.797335,Cocos
kaliptis,29.4,12.6,0.06788667565142183,16,2Delugert.shp,0.797335,Eucalyptus
kokoye,19.3,,0.029255296188391556,16,2Delugert.shp,0.797335,Cocos
mango,45.9,,0.16546847046273777,16,2Delugert.shp,0.797335,Mangifera
mango,43.7,9.5,0.14998670186584734,16,2Delugert.shp,0.797335,Mangifera
mango,26.5,,0.05515458602458581,16,2Delugert.shp,0.797335,Mangifera
mango,25.4,,0.05067074790974978,16,2Delugert.shp,0.797335,Mangifera
kokoye,19.6,7.0,0.030171855845076378,16,2Delugert.shp,0.797335,Cocos
kokoye,19.3,6.0,0.029255296188391556,16,2Delugert.shp,0.797335,Cocos
kokoye,18.5,,0.026880252142277666,16,2Delugert.shp,0.797335,Cocos
mango,21.2,,0.03529893505573491,16,2Delugert.shp,0.797335,Mangifera
kokoye,19.3,,0.029255296188391556,16,2Delugert.shp,0.797335,Cocos
kokoye,22.7,,0.04047078196170711,16,2Delugert.shp,0.797335,Cocos
kokoye,20.3,,0.03236547291544545,16,2Delugert.shp,0.797335,Cocos
kokoye,17.3,,0.023506181632322234,16,2Delugert.shp,0.797335,Cocos
kokoye,18.2,,0.02601552876437708,16,2Delugert.shp,0.797335,Cocos
mango,22.9,,0.04118706508672558,16,2Delugert.shp,0.797335,Mangifera
mango,29.9,,0.07021538120589527,16,2Delugert.shp,0.797335,Mangifera
mango,31.7,,0.07892387604164619,16,2Delugert.shp,0.797335,Mangifera
mango,27.5,,0.05939573610693204,16,2Delugert.shp,0.797335,Mangifera
mango,17.3,,0.023506181632322234,16,2Delugert.shp,0.797335,Mangifera
mango,25.4,,0.05067074790974978,16,2Delugert.shp,0.797335,Mangifera
mango,24.9,,0.04869547152880519,16,2Delugert.shp,0.797335,Mangifera
mango,30.5,,0.07306166415004763,16,2Delugert.shp,0.797335,Mangifera
mango,21.9,,0.03766848131470501,16,2Delugert.shp,0.797335,Mangifera
mango,29.6,,0.06881344548423085,16,2Delugert.shp,0.797335,Mangifera
mango,25.5,,0.051070515574919075,16,2Delugert.shp,0.797335,Mangifera
mango,14.9,,0.017436624625586747,16,2Delugert.shp,0.797335,Mangifera
mango,18.5,,0.026880252142277666,16,2Delugert.shp,0.797335,Mangifera
mango,16.5,,0.021382464998495533,16,2Delugert.shp,0.797335,Mangifera
mango,16.3,,0.020867243803306804,16,2Delugert.shp,0.797335,Mangifera
mango,19.5,,0.029864765163187975,16,2Delugert.shp,0.797335,Mangifera
mango,23.5,,0.04337361357362408,16,2Delugert.shp,0.797335,Mangifera
mango,34.9,,0.09566228169997258,16,2Delugert.shp,0.797335,Mangifera
mango,34.3,,0.09240130852554637,16,2Delugert.shp,0.797335,Mangifera
mango,38.9,8.0,0.11884723548346528,16,2Delugert.shp,0.797335,Mangifera
mango,34.5,,0.09348201639838126,16,2Delugert.shp,0.797335,Mangifera
mango,33.5,,0.08814130888727865,16,2Delugert.shp,0.797335,Mangifera
mango,36.1,,0.10235387405211885,16,2Delugert.shp,0.797335,Mangifera
mango,27.5,,0.05939573610693204,16,2Delugert.shp,0.797335,Mangifera
mango,24.6,,0.04752915525615999,16,2Delugert.shp,0.797335,Mangifera
mango,25.5,,0.051070515574919075,16,2Delugert.shp,0.797335,Mangifera
mango,29.1,,0.06650830187465934,16,2Delugert.shp,0.797335,Mangifera
mango,39.5,,0.12254174844408688,16,2Delugert.shp,0.797335,Mangifera
mango,32.5,,0.08295768100885548,16,2Delugert.shp,0.797335,Mangifera
mango,33.9,,0.09025874233579814,16,2Delugert.shp,0.797335,Mangifera
mango,33.4,,0.08761587751596572,16,2Delugert.shp,0.797335,Mangifera
mango,37.1,10.4,0.10810298860818816,16,2Delugert.shp,0.797335,Mangifera
mango,37.5,,0.11044661672776616,16,2Delugert.shp,0.797335,Mangifera
mango,23.5,8.0,0.04337361357362408,16,2Delugert.shp,0.797335,Mangifera
mango,25.5,,0.051070515574919075,16,2Delugert.shp,0.797335,Mangifera
mango,20.5,,0.03300635781677776,16,2Delugert.shp,0.797335,Mangifera
mango,16.3,,0.020867243803306804,16,2Delugert.shp,0.797335,Mangifera
mango,23.9,,0.04486272849142564,16,2Delugert.shp,0.797335,Mangifera
mango,36.4,8.0,0.10406211505750831,16,2Delugert.shp,0.797335,Mangifera
kokoye,21.4,9.2,0.03596809429094954,16,2Delugert.shp,0.797335,Cocos
kokoye,22.3,11.8,0.03905706526759171,16,2Delugert.shp,0.797335,Cocos
mango,35.5,9.0,0.09897980354216342,16,2Delugert.shp,0.797335,Mangifera
kokoye,19.3,,0.029255296188391556,16,2Delugert.shp,0.797335,Cocos
kokoye,18.3,,0.026302199094017143,16,2Delugert.shp,0.797335,Cocos
kokoye,18.4,,0.026590440219984007,16,2Delugert.shp,0.797335,Cocos
