species_binomial,family,genus,species,wd
helicteres jamaicensis,Malvaceae,Helicteres,jamaicensis,
henriettea fascicularis,Melastomataceae,Henriettea,fascicularis,
hernandia sonora,Hernandiaceae,Hernandia,sonora,0.29
heteropterys laurifolia,Malpighiaceae,Heteropterys,laurifolia,
hevea brasiliensis,Euphorbiaceae,Hevea,brasiliensis,0.46
hibiscus elatus,Malvaceae,Hibiscus,elatus,0.585
hibiscus rosa-sinensis,Malvaceae,Hibiscus,rosa-sinensis,
hibiscus spp.,,Hibiscus,,
hibiscus tiliaceus,Malvaceae,Hibiscus,tiliaceus,0.6
hippomane mancinella,Euphorbiaceae,Hippomane,mancinella,0.5
hippomane spinosa,Euphorbiaceae,Hippomane,spinosa,
hippomane spp.,,Hippomane,,
hirtella triandra,Chrysobalanaceae,Hirtella,triandra,
homalium racemosum,Flacourtiaceae,Homalium,racemosum,0.77
huertea cubensis,Staphyleaceae,Huertea,cubensis,
hura crepitans,Euphorbiaceae,Hura,crepitans,0.33
hyeronima domingensis,Euphorbiaceae,Hyeronima,domingensis,
hyeronima spp. ,Euphorbiaceae,Hyeronima,,0.65
hymenaea courbaril,Fabaceae,Hymenaea,courbaril,0.7649999999999999
hypelate trifoliata,Sapindaceae,Hypelate,trifoliata,
hyperbaena lindmanii,Menispermaceae,Hyperbaena,lindmanii,
ilex azuensis,Aquifoliaceae,Ilex,azuensis,
ilex barahonica,Aquifoliaceae,Ilex,barahonica,
ilex fuertesiana,Aquifoliaceae,Ilex,fuertesiana,
ilex guianensis,Aquifoliaceae,Ilex,guianensis,
ilex impressa,Aquifoliaceae,Ilex,impressa,
ilex krugiana,Aquifoliaceae,Ilex,krugiana,
ilex macfadyenii,Aquifoliaceae,Ilex,macfadyenii,
ilex microwrightioides,Aquifoliaceae,Ilex,microwrightioides,
ilex nitida,Aquifoliaceae,Ilex,nitida,
ilex obcordata,Aquifoliaceae,Ilex,obcordata,
ilex repanda,Aquifoliaceae,Ilex,repanda,
ilex riedlaei,Aquifoliaceae,Ilex,riedlaei,
ilex spp.,Aquifoliaceae,Ilex,,0.77
ilex tuerckheimii,Aquifoliaceae,Ilex,tuerckheimii,
illicium ekmanii,Illiciaceae,Illicium,ekmanii,
illicium parviflorum,Illiciaceae,Illicium,parviflorum,
inga fagifolia,Fabaceae,Inga,fagifolia,0.62
inga fastuosa,Fabaceae,Inga,fastuosa,
inga ingoides,Fabaceae,Inga,ingoides,
inga vera spp. vera,Fabaceae,Inga,vera,0.6599999999999999
ixora ferrea,Rubiaceae,Ixora,ferrea,
jacaranda mimosifolia,Bignoniaceae,Jacaranda,mimosifolia,
jacquinia berterii,Theophrastaceae,Jacquinia,berterii,
jacquinia spp.,Theophrastaceae,Jacquinia,,
jatropha curcas,Euphorbiaceae,Jatropha,curcas,
jatropha integerrima,Euphorbiaceae,Jatropha,integerrima,
jatropha multifida,Euphorbiaceae,Jatropha,multifida,
jatropha spp.,Euphorbiaceae,Jatropha,,
juglans jamaicensis,Juglandaceae,Juglans,jamaicensis,0.46
juniperus gracilior,Cupressaceae,Juniperus,gracilior,
krugiodendron ferreum,Rhamnaceae,Krugiodendron,ferreum,1.0
laetia procera,Flacourtiaceae,Laetia,procera,0.75
laetia thamnia,Flacourtiaceae,Laetia,thamnia,
lagerstroemia indica,Lythraceae,Lagerstroemia,indica,
lagerstroemia speciosa,Lythraceae,Lagerstroemia,speciosa,0.55
lagetta lagetto,Thymeliaceae,Lagetta,lagetto,
laguncularia racemosa ,Combretaceae,Laguncularia,racemosa,0.7
laplacea spp.,Theaceae,Laplacea,,
lawsonia inermis,Lythraceae,Lawsonia,inermis,
lemaireocereus hystrix,Cactaceae,Lemaireocereus,hystrix,
leucaena diversifolia,Fabaceae,Leucaena,diversifolia,
leucaena leucocephala subsp. glabrata,Fabaceae,Leucaena,leucocephala,0.645
leucaena leucocephala subsp. leucocephala,Fabaceae,Leucaena,leucocephala,0.7
leucaena spp.,Fabaceae,Leucaena,,
leucaena trichodes,Fabaceae,Leucaena,trichodes,
licaria triandra,Lauraceae,Licaria,triandra,0.8200000000000001
litchi chinensis,Sapindaceae,Litchi,chinensis,
lobelia assurgens,Campanulaceae,Lobelia,assurgens,
lonchocarpus domingensis,Fabaceae,Lonchocarpus,domingensis,
lonchocarpus latifolius,Fabaceae,Lonchocarpus,latifolius,
lonchocarpus longipes,Fabaceae,Lonchocarpus,longipes,
lonchocarpus neurophyllus,Fabaceae,Lonchocarpus,neurophyllus,
lonchocarpus spp. ,Fabaceae,Lonchocarpus,,0.69
lunania ekmanii,Flacourtiaceae,Lunania,ekmanii,
lyonia rubiginosa,Ericaceae,Lyonia,rubiginosa,
lysiloma bahamensis,Fabaceae,Lysiloma,bahamensis,
lysiloma sabicu,Fabaceae,Lysiloma,sabicu,0.585
machaerium lunatum,Fabaceae,Machaerium,lunatum,
maclura tinctoria,Moraceae,Maclura,tinctoria,
magnolia grandiflora,Magnoliaceae,Magnolia,grandiflora,
magnolia hamori,Magnoliaceae,Magnolia,hamori,
magnolia pallescens,Magnoliaceae,Magnolia,pallescens,
magnolia spp.,Magnoliaceae,Magnolia,,0.55
malpighia albiflora,Malpighiaceae,Malpighia,albiflora,
malpighia emarginata,Malpighiaceae,Malpighia,emarginata,
malpighia glabra,Malpighiaceae,Malpighia,glabra,
malpighia megacantha,Malpighiaceae,Malpighia,megacantha,
malpighia setosa,Malpighiaceae,Malpighia,setosa,
malpighia spp.,,Malpighia,,
malpighia urens,Malpighiaceae,Malpighia,urens,
malvaviscus arboreus,Malvaceae,Malvaviscus,arboreus,
mammea americana,Clusiaceae,Mammea,americana,0.62
mangifera indica,Anacardiaceae,Mangifera,indica,0.515
manilkara albescens,Sapotaceae,Manilkara,albescens,
manilkara bidentata,Sapotaceae,Manilkara,bidentata,0.85
manilkara gonavensis,Sapotaceae,Manilkara,gonavensis,
manilkara jaimiqui ssp. haitensis,Sapotaceae,Manilkara,jaimiqui,
manilkara spp.,,Manilkara,,
manilkara zapota,Sapotaceae,Manilkara,zapota,
margaritaria nobilis,Euphorbiaceae,Margaritaria,nobilis,0.9
matayba apetala,Sapindaceae,Matayba,apetala,
matayba domingensis,Sapindaceae,Matayba,domingensis,0.7
matayba scrobiculata,Sapindaceae,Matayba,scrobiculata,
matayba spp.,Sapindaceae,Matayba,,
maytenus buxifolia,Celastraceae,Maytenus,buxifolia,
maytenus domingensis,Celastraceae,Maytenus,domingensis,
maytenus elliptica,Celastraceae,Maytenus,elliptica,
maytenus spp.,Celastraceae,Maytenus,,0.7050000000000001
mecranium amygdalinum,Melastomataceae,Mecranium,amygdalinum,
mecranium spp. except amygdalinum,Melastomataceae,Mecranium,,
melaleuca quiquenervia,Myrtaceae,Melaleuca,quiquenervia,0.65
melia azedarach,Meliaceae,Melia,azedarach,0.46
melicoccus bijugatus,Sapindaceae,Melicoccus,bijugatus,
meliosma abbreviata,Sabiaceae,Meliosma,abbreviata,
meliosma herbertii,Sabiaceae,Meliosma,herbertii,0.42
meliosma impressa ,Sabiaceae,Meliosma,impressa,
meliosma recurvata,Sabiaceae,Meliosma,recurvata,
metopium brownei,Anarcardiceae,Metopium,brownei,
metopium spp.,,Metopium,,
metopium toxiferum,Anarcardiceae,Metopium,toxiferum,
michelia champaca,Magnoliaceae,Michelia,champaca,
miconia impetiolaris,Melastomataceae,Miconia,impetiolaris,
miconia laevigata,Melastomataceae,Miconia,laevigata,
miconia mirabilis,Melastomataceae,Miconia,mirabilis,
miconia ottoschulzii,Melastomataceae,Miconia,ottoschulzii,
miconia prasina,Melastomataceae,Miconia,prasina,
miconia punctata,Melastomataceae,Miconia,punctata,
miconia racemosa,Melastomataceae,Miconia,racemosa,
miconia rubiginosa,Melastomataceae,Miconia,rubiginosa,
miconia serrulata,Melastomataceae,Miconia,serrulata,
miconia spp.,Melastomataceae,Miconia,,
miconia tetrandra,Melastomataceae,Miconia,tetrandra,
micropholis spp.,Sapotaceae,Micropholis,,0.65
mimosa ceratonia,Fabaceae,Mimosa,ceratonia,
mimosa parvifoliolata,Fabaceae,Mimosa,parvifoliolata,
mimosa scabrella,Fabaceae,Mimosa,scabrella,0.56
mora abbottii,Fabaceae,Mora,abbottii,
mora ekmanii,Fabaceae,Mora,ekmanii,
morinda citrifolia,Rubiaceae,Morinda,citrifolia,
morinda royoc,Rubiaceae,Morinda,royoc,
moringa oleifera ,Moringaceae,Moringa,oleifera,
morisonia americana,Brassicaceae,Morisonia,americana,
morus nigra,Moraceae,Morus,nigra,
mouriri domingensis,Melastomataceae,Mouriri,domingensis,
muntingia calabura,Elaeocarpaceae,Muntingia,calabura,
murraya paniculata,Rutaceae,Murraya,paniculata,
musa acuminata colla x m. balbisiana colla 'aaa',Musaceae,Musa,acuminata,
musa acuminata colla x m. balbisiana colla 'aab',Musaceae,Musa,acuminata,
musa spp.,Musaceae,Musa,,
myrcia citrifolia,Myrtaceae,Myrcia,citrifolia,
myrcia deflexa,Myrtaceae,Myrcia,deflexa,0.8
myrcia leptoclada,Myrtaceae,Myrcia,leptoclada,
myrcia splendens,Myrtaceae,Myrcia,splendens,
myrcianthes esnardiana,Myrtaceae,Myrcianthes,esnardiana,
myrcianthes fragrans,Myrtaceae,Myrcianthes,fragrans,
myrciaria floribunda,Myrtaceae,Myrciaria,floribunda,
myrica cerifera,Myricaceae,Myrica,cerifera,
myristica fragrans,Myristicaceae,Myristica,fragrans,0.525
myrospermum frutescens,Fabaceae,Myrospermum,frutescens,
myroxylon balsamum,Fabaceae,Myroxylon,balsamum,0.775
myrsine coriacea,Myrsinaceae,Myrsine,coriacea,0.7
myrsine guianensis,Myrsinaceae,Myrsine,guianensis,
myrsine magnoliifolia,Myrsinaceae,Myrsine,magnoliifolia,
nectandra hihua,,Nectandra,hihua,
neobuchia paulinae,Bombacaceae,Neobuchia,paulinae,
neolaugeria resinosa,Rubiaceae,Neolaugeria,resinosa,0.8
nerium oleander ,Apocynaceae,Nerium,oleander,0.6
ochroma pyramidale,Bombacaceae,Ochroma,pyramidale,0.24
ocotea coriacea,Lauraceae,Ocotea,coriacea,
ocotea floribunda,Lauraceae,Ocotea,floribunda,
ocotea foeniculacea,Lauraceae,Ocotea,foeniculacea,
ocotea globosa,Lauraceae,Ocotea,globosa,
ocotea leucoxylon,Lauraceae,Ocotea,leucoxylon,0.45
ocotea membranacea,Lauraceae,Ocotea,membranacea,0.45
ocotea nemodaphne,Lauraceae,Ocotea,nemodaphne,
ocotea oligoneura,Lauraceae,Ocotea,oligoneura,
ocotea patens,Lauraceae,Ocotea,patens,
ocotea sintensisii,Lauraceae,Ocotea,sintensisii,0.55
ocotea spp.,Lauraceae,Ocotea,,
ocotea wrightii,Lauraceae,Ocotea,wrightii,
omphalea commutata,Euphorbiaceae,Omphalea,commutata,
omphalea spp.,Euphorbiaceae,Omphalea,,
omphalea triandra,Euphorbiaceae,Omphalea,triandra,
opuntia ficus-indica,Cactaceae,Opuntia,ficus-indica,
opuntia moniliformis,Cactaceae,Opuntia,moniliformis,
oreopanax capitatus,Araliaceae,Oreopanax,capitatus,
ormosia krugii,Fabaceae,Ormosia,krugii,0.5900000000000001
ottoschulzia domingensis,Icacinaceae,Ottoschulzia,domingensis,
ottoschulzia rhodoxylon,Icacinaceae,Ottoschulzia,rhodoxylon,
ouratea ilicifolia,Ochnaceae,Ouratea,ilicifolia,
oxandra lanceolata,Annonaceae,Oxandra,lanceolata,0.81
oxandra laurifolia,Annonaceae,Oxandra,laurifolia,
pachira aquatica,Bombacaceae,Pachira,aquatica,
pachira insignis,Bombacaceae,Pachira,insignis,
pachira spp. ,Bombacaceae,Pachira,,
palicourea alpina,Rubiaceae,Palicourea,alpina,
palicourea barbinervia,Rubiaceae,Palicourea,barbinervia,
palicourea crocea,Rubiaceae,Palicourea,crocea,
palicourea domingensis,Rubiaceae,Palicourea,domingensis,
palicourea spp.,Rubiaceae,Palicourea,,
parathesis crenulata,Myrsinaceae,Parathesis,crenulata,
parathesis serrulata,Myrsinaceae,Parathesis,serrulata,
parathesis spp.,,Parathesis,,
parkia roxburghii,Fabaceae,Parkia,roxburghii,
parkinsonia aculeata,Fabaceae,Parkinsonia,aculeata,0.615
peltophorum berteroanum,Fabaceae,Peltophorum,berteroanum,
peltophorum pterocarpum,Fabaceae,Peltophorum,pterocarpum,
pera bumeliifolia,Euphorbiaceae,Pera,bumeliifolia,
pera glomerata,Euphorbiaceae,Pera,glomerata,
persea americana,Lauraceae,Persea,americana,0.525
persea anomala,Lauraceae,Persea,anomala,
persea krugii,Lauraceae,Persea,krugii,
persea spp.,,Persea,,
petitia domingensis,Verbenaceae,Petitia,domingensis,0.66
phoenix canariensis,Arecaceae,Phoenix,canariensis,
phoenix dactylifera,Arecaceae,Phoenix,dactylifera,
phyllanthus acidus,Euphorbiaceae,Phyllanthus,acidus,0.6
phyllanthus juglandifolius,Euphorbiaceae,Phyllanthus,juglandifolius,
phyllostylon brasiliense,Ulmaceae,Phyllostylon,brasiliense,0.785
picramnia antidesma,Simaroubaceae,Picramnia,antidesma,
picramnia pentandra,Simaroubaceae,Picramnia,pentandra,
picrasma excelsa,Simaroubaceae,Picrasma,excelsa,
picrodendron baccatum,Euphorbiaceae,Picrodendron,baccatum,
pictetia aculeata,Fabaceae,Pictetia,aculeata,0.8
pictetia obcordata,Fabaceae,Pictetia,obcordata,
pictetia spinifolia,Fabaceae,Pictetia,spinifolia,1.1400000000000001
pilocarpus racemosus,Rutaceae,Pilocarpus,racemosus,
pimenta dioica,Myrtaceae,Pimenta,dioica,
pimenta racemosa,Myrtaceae,Pimenta,racemosa,0.9
pimenta racemosa var grisea,Myrtaceae,Pimenta,racemosa,
pimenta racemosa var racemosa,Myrtaceae,Pimenta,racemosa,
pimenta terebinthina,Myrtaceae,Pimenta,terebinthina,
pinus caribaea,Pinaceae,Pinus,caribaea,0.52
pinus occidentalis,Pinaceae,Pinus,occidentalis,0.6699999999999999
pinus spp.,,Pinus,,
piper aduncum,Piperaceae,Piper,aduncum,
piper amalago,Piperaceae,Piper,amalago,
piper tuberculatum,Piperaceae,Piper,tuberculatum,
piptadenia peregrina,Fabaceae,Piptadenia,peregrina,0.66
piscidia piscipula,Fabaceae,Piscidia,piscipula,
pisonia aculeata,Nyctaginaceae,Pisonia,aculeata,
pisonia albida,Nyctaginaceae,Pisonia,albida,
pisonia helleri,Nyctaginaceae,Pisonia,helleri,
pisonia rotundata,Nyctaginaceae,Pisonia,rotundata,0.5
pithecellobium abbottii,Fabaceae,Pithecellobium,abbottii,
pithecellobium arboreum,Fabaceae,Pithecellobium,arboreum,0.7
pithecellobium circinale,Fabaceae,Pithecellobium,circinale,1.0150000000000001
pithecellobium dulce,Fabaceae,Pithecellobium,dulce,0.635
pithecellobium glaucum,Fabaceae,Pithecellobium,glaucum,
pithecellobium lentiscifolium,Fabaceae,Pithecellobium,lentiscifolium,
pithecellobium unguis-cati,Fabaceae,Pithecellobium,unguis-cati,
pleodendron spp.,Canellaceae,Pleodendron,,
plumeria alba,Apocynaceae,Plumeria,alba,
plumeria obtusa,Apocynaceae,Plumeria,obtusa,
plumeria obtusa x p. subsessilis,Apocynaceae,Plumeria,obtusa,
plumeria rubra,Apocynaceae,Plumeria,rubra,
plumeria rubra x p. subsessilis,Apocynaceae,Plumeria,rubra,
plumeria spp.,Apocynaceae,Plumeria,,
plumeria stenopetala,Apocynaceae,Plumeria,stenopetala,
plumeria subsessilis,Apocynaceae,Plumeria,subsessilis,
plumeria tuberculata,Apocynaceae,Plumeria,tuberculata,
podocarpus angustifolius,Podocarpaceae,Podocarpus,angustifolius,
podocarpus spp.,Podocarpaceae,Podocarpus,,0.455
polygala penaea,Polygalaceae,Polygala,penaea,
polyscias balfouriana,Araliaceae,Polyscias,balfouriana,
polyscias filicifolia,Araliaceae,Polyscias,filicifolia,
polyscias guilfoylei,Araliaceae,Polyscias,guilfoylei,
polyscias pinnata,Araliaceae,Polyscias,pinnata,
polyscias spp.,,Polyscias,,
pouteria dictyoneura ssp. fuertesii,Sapotaceae,Pouteria,dictyoneura,
pouteria domingensis,Sapotaceae,Pouteria,domingensis,
pouteria multiflora,Sapotaceae,Pouteria,multiflora,
pouteria sapota,Sapotaceae,Pouteria,sapota,0.6
prestoea acuminata,Arecaceae,Prestoea,acuminata,
prosopis juliflora,Fabaceae,Prosopis,juliflora,0.8
prunus americana,Rosaceae,Prunus,americana,
prunus domestica,Rosaceae,Prunus,domestica,
prunus myrtifolia,Rosaceae,Prunus,myrtifolia,
prunus occidentalis,Rosaceae,Prunus,occidentalis,0.9750000000000001
prunus persica ,Rosaceae,Prunus,persica,
prunus spp.,,Prunus,,
pseudanamomis umbellulifera,Myrtaceae,Pseudanamomis,umbellulifera,
pseudobombax,Bombacaceae,Pseudobombax,,
pseudolmedia spp.,Moraceae,Pseudolmedia,,
pseudolmedia spuria,Moraceae,Pseudolmedia,spuria,
pseudophoenix lediniana,Arecaceae,Pseudophoenix,lediniana,
pseudophoenix sargentii,Arecaceae,Pseudophoenix,sargentii,
pseudophoenix vinifera,Arecaceae,Pseudophoenix,vinifera,
psidium dictyophyllum,Myrtaceae,Psidium,dictyophyllum,
psidium guajava,Myrtaceae,Psidium,guajava,0.8
psychotria berteriana,Rubiaceae,Psychotria,berteriana,
psychotria grandis,Rubiaceae,Psychotria,grandis,
psychotria nutans,Rubiaceae,Psychotria,nutans,
psychotria spp.,Rubiaceae,Psychotria,,
pterocarpus gummifer,Fabaceae,Pterocarpus,gummifer,
pterocarpus microcarpus,Fabaceae,Pterocarpus,microcarpus,
pterocarpus officinalis,Fabaceae,Pterocarpus,officinalis,0.7150000000000001
punica granatum,Punicaceae,Punica,granatum,
pyrus communis,Rosaceae,Pyrus,communis,
quararibea turbinata,Bombacaceae,Quararibea,turbinata,
quassia amara,Simaroubaceae,Quassia,amara,
randia aculeata,Rubiaceae,Randia,aculeata,
randia erythrocarpa,Rubiaceae,Randia,erythrocarpa,
rauvolfia biauriculata,Apocynaceae,Rauvolfia,biauriculata,
rauvolfia nitida,Apocynaceae,Rauvolfia,nitida,
rauvolfia viridis,Apocynaceae,Rauvolfia,viridis,
ravenala madagascariensis,Musaceae,Ravenala,madagascariensis,
reynosia affinis,,Reynosia,affinis,
reynosia uncinata,Rhamnaceae,Reynosia,uncinata,
rhamnus,Rhamnaceae,Rhamnus,,
rhizophora mangle,Rhizophoraceae,Rhizophora,mangle,0.89
ricinus communis,Euphorbiaceae,Ricinus,communis,
rochefortia acanthophora,Boraginaceae,Rochefortia,acanthophora,
rollinia mucosa,Annonaceae,Rollinia,mucosa,
rondeletia spp.,Rubiaceae,Rondeletia,,
roystonea borinquena,Arecaceae,Roystonea,borinquena,
sabal causiarum,Arecaceae,Sabal,causiarum,
sabal domingensis,Arecaceae,Sabal,domingensis,
sabal spp.,,Sabal,,
sambucus candensis,Adoxaceae,Sambucus,candensis,
sambucus simpsonii,Adoxaceae,Sambucus,simpsonii,
sambucus spp.,Adoxaceae,Sambucus,,
sapindus saponaria,Sapindaceae,Sapindus,saponaria,0.8
sapium buchii,Euphorbiaceae,Sapium,buchii,
sapium jamaicense,Euphorbiaceae,Sapium,jamaicense,
sapium laurifolium,,Sapium,laurifolium,
sapium spp.,Euphorbiaceae,Sapium,,0.45
savia sessiliflora,Euphorbiaceae,Savia,sessiliflora,
schaefferia frutescens,Celastraceae,Schaefferia,frutescens,
schefflera morototoni,Araliaceae,Schefflera,morototoni,0.45
schefflera spp. ,,Schefflera,,
schefflera tremula,Araliaceae,Schefflera,tremula,
schinus molle,Anacardiaceae,Schinus,molle,
schinus terbinthifolius,Anacardiaceae,Schinus,terbinthifolius,
schoepfia obovata,Olacaceae,Schoepfia,obovata,
sciadodendron excelsum,,Sciadodendron,excelsum,
sciadodendron excelsum,Anacardiaceae,Sciadodendron,excelsum,
securinega acidoton,Euphorbiaceae,Securinega,acidoton,
senna alata,,Senna,alata,
senna angustiliqua,Fabaceae,Senna,angustiliqua,
senna atomaria,Fabaceae,Senna,atomaria,0.71
senna bicapsularis,,Senna,bicapsularis,
senna domingensis,Fabaceae,Senna,domingensis,
senna pendula var. advena,Fabaceae,Senna,pendula,
senna polyphylla var. polyphylla,Fabaceae,Senna,polyphylla,
senna septemtrionalisis,Fabaceae,Senna,septemtrionalisis,
senna siamea,Fabaceae,Senna,siamea,0.7
senna spectabilis,Fabaceae,Senna,spectabilis,
senna spp.,,Senna,,
sesbania bispinosa,Fabaceae,Sesbania,bispinosa,
sesbania grandiflora,Fabaceae,Sesbania,grandiflora,
sesbania sesban,Fabaceae,Sesbania,sesban,
sideroxylon cubense,Sapotaceae,Sideroxylon,cubense,
sideroxylon obovatum,Sapotaceae,Sideroxylon,obovatum,
sideroxylon portoricense,Sapotaceae,Sideroxylon,portoricense,0.9
sideroxylon salicifolium,Sapotaceae,Sideroxylon,salicifolium,0.9450000000000001
sideroxylon spp.,,Sideroxylon,,
simarouba berteroana,Simaroubaceae,Simarouba,berteroana,
simarouba glauca dc. var. latifolia,Simaroubaceae,Simarouba,glauca,
simarouba spp. ,Simaroubaceae,Simarouba,,0.375
sloanea amygdalina,Elaeocarpaceae,Sloanea,amygdalina,
sloanea berteriana,Elaeocarpaceae,Sloanea,berteriana,0.8
sloanea ilicifolia,Elaeocarpaceae,Sloanea,ilicifolia,
sloanea spp.,,Sloanea,,
solanum antillarum,Solanaceae,Solanum,antillarum,
solanum erianthum,Solanaceae,Solanum,erianthum,
solanum polygamum,Solanaceae,Solanum,polygamum,
solanum rugosum,Solanaceae,Solanum,rugosum,
solanum spp.,,Solanum,,
solanum torvum,Solanaceae,Solanum,torvum,
spathodea campanulata,Bignoniaceae,Spathodea,campanulata,
,,,,
spondias dulcis,Anacardiaceae,Spondias,dulcis,
spondias mombin,Anacardiaceae,Spondias,mombin,0.33
spondias purpurea,Anacardiaceae,Spondias,purpurea,
spondias spp.,,Spondias,,
spondias x robe,Anacardiaceae,Spondias,x,
stahlia monosperma,Fabaceae,Stahlia,monosperma,
stegnosperma cubense,Phytolaccaceae,Stegnosperma,cubense,
sterculia apetala,Malvaceae,Sterculia,apetala,0.33
sterculia foetida,Malvaceae,Sterculia,foetida,
strumpfia maritima,Rubiaceae,Strumpfia,maritima,
suriana maritima,Simaroubaceae,Suriana,maritima,
swietenia macrophylla,Meliaceae,Swietenia,macrophylla,0.54
swietenia mahagoni,Meliaceae,Swietenia,mahagoni,0.685
symphonia globulifera,Clusiaceae,Symphonia,globulifera,0.585
symplocos berteroi,Symplocaceae,Symplocos,berteroi,
syzygium cumini,Myrtaceae,Syzygium,cumini,
syzygium jambos,Myrtaceae,Syzygium,jambos,0.7
syzygium malaccense,Myrtaceae,Syzygium,malaccense,
tabebuia acrophylla,Bignoniaceae,Tabebuia,acrophylla,
tabebuia berteri,Bignoniaceae,Tabebuia,berteri,
tabebuia conferta,Bignoniaceae,Tabebuia,conferta,
tabebuia heterophylla,Bignoniaceae,Tabebuia,heterophylla,
tabebuia spp.,Bignoniaceae,Tabebuia,,0.585
tabernaemontana amygdalifolia,Apocynaceae,Tabernaemontana,amygdalifolia,
tabernaemontana citrifolia,Apocynaceae,Tabernaemontana,citrifolia,
tabernaemontana divaricata,Apocynaceae,Tabernaemontana,divaricata,
talisia jimenezii,Sapindaceae,Talisia,jimenezii,
tamarindus indica,Fabaceae,Tamarindus,indica,0.8500000000000001
tecoma stans,Bignoniaceae,Tecoma,stans,
tectona grandis,Verbenaceae,Tectona,grandis,0.585
terminalia catappa,Combretaceae,Terminalia,catappa,0.515
terminalia domingensis,Combretaceae,Terminalia,domingensis,
ternstroemia peduncularis,Theaceae,Ternstroemia,peduncularis,
tetragastris balsamifera,Burseraceae,Tetragastris,balsamifera,
tetragastris spp.,Burseraceae,Tetragastris,,0.7050000000000001
tetrazygia angustifolia,Melastomataceae,Tetrazygia,angustifolia,
tetrazygia elaeagnoides,Melastomataceae,Tetrazygia,elaeagnoides,
tetrazygia spp.,Melastomataceae,Tetrazygia,,
theobroma cacao subsp. cacao ,Malvaceae,Theobroma,cacao,
thespesia populnea,Malvaceae,Thespesia,populnea,
thevetia peruviana,Apocynaceae,Thevetia,peruviana,
thouinia spp.,Sapindaceae,Thouinia,,
thouinia trifoliata,,Thouinia,trifoliata,
thouinidium pinnatum,,Thouinidium,pinnatum,
thouinidium pulverulentum,,Thouinidium,pulverulentum,
thouinidium spp. ,Sapindaceae,Thouinidium,,
thrinax morrisii,Arecaceae,Thrinax,morrisii,
thrinax radiata,Arecaceae,Thrinax,radiata,
thrinax spp.,,Thrinax,,
tibouchina longifolia,Melastomataceae,Tibouchina,longifolia,
torralbasia cunefolia,Celastraceae,Torralbasia,cunefolia,
tournefortia hirsutissima,,Tournefortia,hirsutissima,
trema lamarckiana,Ulmaceae,Trema,lamarckiana,
trema micrantha,Ulmaceae,Trema,micrantha,0.4
trichilia aquifolia,Meliaceae,Trichilia,aquifolia,
trichilia havanensis,Meliaceae,Trichilia,havanensis,
trichilia hirta,Meliaceae,Trichilia,hirta,0.5
trichilia pallida,Meliaceae,Trichilia,pallida,
trichilia spp.,Meliaceae,Trichilia,,
trichostigma octandrum,Phytolaccaceae,Trichostigma,octandrum,
trophis racemosa ,Moraceae,Trophis,racemosa,0.535
turpina occidentalis,Staphyleaceae,Turpina,occidentalis,
urera baccifera,Urticaceae,Urera,baccifera,
victorinia acranda,Euphorbiaceae,Victorinia,acranda,
vitex agnus-castus,Verbenaceae,Vitex,agnus-castus,
vitex divaricata,Verbenaceae,Vitex,divaricata,0.5700000000000001
vitex heptaphylla,Verbenaceae,Vitex,heptaphylla,
vitex spp.,Verbenaceae,Vitex,,
wallenia apiculata,Myrsinaceae,Wallenia,apiculata,
ardisia domingensis,Myrsinaceae,Ardisia,domingensis,
weinmannia pinnata,Cunoniaceae,Weinmannia,pinnata,
wercklea horiida,Malvaceae,Wercklea,horiida,
ximenia americana,Olacaceae,Ximenia,americana,0.95
xylosma buxifolium,Flacourtiaceae,Xylosma,buxifolium,
xylosma lineolatum,Flacourtiaceae,Xylosma,lineolatum,
xylosma schaefferioides,Flacourtiaceae,Xylosma,schaefferioides,
xylosma spp. ,Flacourtiaceae,Xylosma,,
yucca aloifolia,Liliaceae,Yucca,aloifolia,
yucca elephantipes,Liliaceae,Yucca,elephantipes,
yucca spp.,Liliaceae,Yucca,,
zanthoxylum elephantiasis,Rutaceae,Zanthoxylum,elephantiasis,
zanthoxylum fagara,Rutaceae,Zanthoxylum,fagara,
zanthoxylum flavum,Rutaceae,Zanthoxylum,flavum,0.775
zanthoxylum martinicense,Rutaceae,Zanthoxylum,martinicense,0.56
zanthoxylum monophyllum,Rutaceae,Zanthoxylum,monophyllum,0.76
zanthoxylum pimpinelloides,Rutaceae,Zanthoxylum,pimpinelloides,
zanthoxylum punctatum,Rutaceae,Zanthoxylum,punctatum,
zanthoxylum schreberi,Rutaceae,Zanthoxylum,schreberi,
zanthoxylum spinifex,Rutaceae,Zanthoxylum,spinifex,
zanthoxylum spp.,Rutaceae,Zanthoxylum,,
ziziphus mauritiana,Rhamnaceae,Ziziphus,mauritiana,
ziziphus reticulata,Rhamnaceae,Ziziphus,reticulata,
ziziphus rhodoxylon,Rhamnaceae,Ziziphus,rhodoxylon,
ziziphus rignonii,Rhamnaceae,Ziziphus,rignonii,
ziziphus spp.,Rhamnaceae,Ziziphus,,0.9
zombia antillarum,Arecaceae,Zombia,antillarum,
zuelania guidonia,Flacourtiaceae,Zuelania,guidonia,
zygia latifolia,Fabaceae,Zygia,latifolia,
